fecha,región,canal,linea_de_producto,sku,unidades_vendidas,precio_unitario,descuento_pct,total_ingresos,anio,mes,dia,descuento_decimal,precio_final,ingreso_calculado,es_linea_joven
2024-12-27,Norte,Red de Distribución,linea_orgánica,LO-002,21,1757,0,36897,2024,12,27,0.0,1757.0,36897.0,False
2024-10-22,Oeste,Directo,linea_joven,LJ-003,1,2013,10,1812,2024,10,22,0.1,1811.7,1811.7,True
2024-09-08,Este,Red de Distribución,linea_profesional,LP-002,15,2245,5,31991,2024,9,8,0.05,2132.75,31991.25,False
2024-05-16,Centro,Directo,linea_profesional,LP-001,1,151,15,1283,2024,5,16,0.15,128.35,128.35,False
2025-04-04,Centro,Directo,linea_orgánica,LO-003,5,1486,15,6315,2025,4,4,0.15,1263.1,6315.5,False
2024-07-09,Oeste,Red de Distribución,linea_orgánica,LO-002,3,1841,10,4971,2024,7,9,0.1,1656.9,4970.700000000001,False
2025-01-31,Sur,Online,linea_orgánica,LO-002,15,1883,15,24008,2025,1,31,0.15,1600.55,24008.25,False
2024-11-07,Oeste,Red de Distribución,linea_orgánica,LO-003,25,1429,15,30366,2024,11,7,0.15,1214.6499999999999,30366.249999999996,False
2024-08-17,Este,Directo,linea_orgánica,LO-001,12,2244,5,25582,2024,8,17,0.05,2131.7999999999997,25581.6,False
2025-03-22,Centro,Online,linea_profesional,LP-001,29,1871,5,51546,2025,3,22,0.05,1777.4499999999998,51546.049999999996,False
2024-09-03,Centro,Red de Distribución,linea_profesional,LP-001,28,2021,0,56588,2024,9,3,0.0,2021.0,56588.0,False
2024-08-17,Norte,Online,linea_orgánica,LO-003,6,2216,0,13296,2024,8,17,0.0,2216.0,13296.0,False
2025-04-24,Oeste,Online,linea_joven,LJ-002,10,1218,5,11571,2025,4,24,0.05,1157.1,11571.0,True
2024-05-30,Sur,Directo,linea_profesional,LP-001,5,2388,0,1194,2024,5,30,0.0,2388.0,11940.0,False
2024-07-10,Norte,Directo,linea_profesional,LP-001,6,131,10,7074,2024,7,10,0.1,117.9,707.4000000000001,False
2024-05-15,Sur,Directo,linea_joven,LJ-003,5,1671,15,7102,2024,5,15,0.15,1420.35,7101.75,True
2025-02-11,Norte,Red de Distribución,linea_orgánica,LO-002,12,2183,0,26196,2025,2,11,0.0,2183.0,26196.0,False
2024-06-27,Oeste,Directo,linea_profesional,LP-001,7,1963,5,13054,2024,6,27,0.05,1864.85,13053.949999999999,False
2024-08-12,Centro,Online,linea_orgánica,LO-003,7,1776,15,10567,2024,8,12,0.15,1509.6,10567.199999999999,False
2024-05-05,Este,Directo,linea_orgánica,LO-002,22,1877,5,39229,2024,5,5,0.05,1783.1499999999999,39229.299999999996,False
2024-11-29,Norte,Red de Distribución,linea_orgánica,LO-003,21,942,15,16815,2024,11,29,0.15,800.6999999999999,16814.699999999997,False
2025-01-15,Centro,Directo,linea_profesional,LP-001,26,1035,10,24219,2025,1,15,0.1,931.5,24219.0,False
2024-11-24,Este,Red de Distribución,linea_orgánica,LO-001,2,1343,10,2417,2024,11,24,0.1,1208.7,2417.4,False
2025-03-26,Sur,Red de Distribución,linea_profesional,LP-001,4,1205,0,482,2025,3,26,0.0,1205.0,4820.0,False
2024-05-25,Oeste,Directo,linea_profesional,LP-002,19,1873,10,32028,2024,5,25,0.1,1685.7,32028.3,False
2024-12-28,Sur,Directo,linea_orgánica,LO-002,30,1577,0,4731,2024,12,28,0.0,1577.0,47310.0,False
2025-01-21,Norte,Directo,linea_joven,LJ-003,30,2102,15,53601,2025,1,21,0.15,1786.7,53601.0,True
2024-05-08,Norte,Online,linea_orgánica,LO-003,13,1292,0,16796,2024,5,8,0.0,1292.0,16796.0,False
2024-11-08,Oeste,Directo,linea_orgánica,LO-001,18,181,5,30951,2024,11,8,0.05,171.95,3095.1,False
2025-03-09,Este,Online,linea_joven,LJ-001,28,2331,15,55478,2025,3,9,0.15,1981.35,55477.799999999996,True
2024-07-15,Oeste,Directo,linea_orgánica,LO-003,27,2162,5,55455,2024,7,15,0.05,2053.9,55455.3,False
